Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT43B100E,1,BLE Antenna,
BOOT0,MicroJump,1,Bridge,
BT1,CP1254 Battery,1,Battery_Cell,
BZ1,Transducer TE044003-4,1,Buzzer,
"C1, C2",0402,2,18pF,
"C10, C11, C12, C13, C14, C15, C7, C8, C9",0402,9,100nF,
"C16, C17, C18",0402,3,C1,
"C19, C20, C21",0402,3,C2,
"C22, C27",0402,2,0.47uF,
"C23, C26",0402,2,22nF,
"C24, C25",0402,2,10nF,
"C28, C29",0402,2,10uF,
"C3, C4",0402,2,12pF,
"C30, C31, C32, C33",0603,4,10uF,
C34,0402,1,1uF,
C35,0402,1,47nF,
C6,0603,1,4.7uF,
D1,LED_LiteOn_LTST-C19HE1WT,1,LEDA,
D2,LED_LiteOn_LTST-C19HE1WT,1,LEDB,
D3,0402,1,1N4148,
J1,Molex 5035661102,1,SWD Trace,
J2,MOLEX_5034800800,1,Touch FFC,
J3,PinHeader_1x02_P1.27mm_Vertical,1,ExtBatt,
JP1,MicroJump-Open,1,5V Trace,
JP2,MicroJump,1,Batt Source,
L1,0603,1,10uH,
L2,0603,1,10nH,
L3,PinHeader_1x02_P1.27mm_Vertical,1,RX Coil,
M1,SMT Motor VZ43FM1B8230001L,1,Motor_DC,
"Q1, Q2",SOT-883,2,2N7002,
"R1, R12, R13, R14, R15, R2",0402,6,1K,
"R10, R11",0402,2,1M,
R16,0402,1,1.5M,
"R3, R8",0402,2,47K,
R4,0402,1,2K4,
R5,0402,1,100K,
R6,0402,1,820R,
R7,0402,1,220R,
R9,0402,1,3.3M,
TH1,0402,1,10k???,
U1,STM32WB55VGY6TR,1,STM32WB55VGY6TR - Seq,
U3,MLPF-WB55-01E3,1,MLPF-WB55-01E3,
U4,Texas_DSBGA-28_1.9x3.0mm_Layout4x7_P0.4mm,1,BQ51052BYFP,
U5,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75533PDRV,
U6,DFN-8-1EP_2x2mm_P0.5mm_EP1.05x1.75mm,1,KTD2052,
U7,LSM6DSV16XTR,1,LSM6DSV16XTR,
Y1,Crystal_SMD_EuroQuartz_X22-4Pin_2.5x2.0mm,1,32MHz,
Y2,Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm,1,32768kHz,
