Designator,Mid X,Mid Y,Rotation,Layer
AE1,131.08,-102.58,180.0,top
BOOT0,135.58,-91.37,0.0,top
BT1,138.43,-96.25,25.0,bottom
BZ1,149.81401,-95.575401,180.0,bottom
C1,127.03,-98.36,90.0,top
C10,132.11401,-91.475401,90.0,top
C11,133.10401,-98.275401,270.0,top
C12,133.01249,-91.475401,90.0,top
C13,134.01401,-98.275401,270.0,top
C14,130.89,-98.26,270.0,top
C15,128.83401,-93.575401,180.0,top
C16,145.40871,-89.940401,90.0,top
C17,146.39931,-89.940401,90.0,top
C18,147.38991,-89.940401,270.0,top
C19,147.38991,-91.845401,270.0,top
C2,127.03,-100.19,90.0,top
C20,146.39931,-91.845401,90.0,top
C21,145.40871,-91.845401,270.0,top
C22,144.970097,-95.184175,0.0,top
C23,144.970097,-95.996975,0.0,top
C24,144.970097,-96.809775,0.0,top
C25,149.288097,-96.809775,180.0,top
C26,149.288097,-95.996975,180.0,top
C27,149.288097,-95.184175,180.0,top
C28,149.288097,-97.622575,180.0,top
C29,149.288097,-98.435375,180.0,top
C3,135.69,-97.21,0.0,top
C30,146.76,-103.57,180.0,top
C31,146.76401,-99.405401,180.0,top
C32,143.79401,-100.865401,180.0,top
C33,140.61401,-101.685401,270.0,top
C34,135.68401,-92.905401,180.0,top
C35,128.83401,-91.775401,0.0,top
C4,135.68401,-93.825401,0.0,top
C6,129.40401,-89.705401,180.0,top
C7,128.83401,-90.865401,180.0,top
C8,128.83401,-96.895401,180.0,top
C9,128.83401,-92.762601,180.0,top
D1,145.119097,-106.177975,125.0,top
D2,131.469097,-106.167975,235.0,top
D3,133.21401,-88.355401,180.0,top
J1,128.82,-95.2,90.0,bottom
J2,138.249097,-104.327975,180.0,bottom
J3,142.24,-91.51,180.0,bottom
JP1,143.16,-98.36,270.0,top
JP2,141.83,-100.77,270.0,top
L1,128.26401,-95.810601,180.0,top
L2,128.26401,-94.591401,0.0,top
L3,148.55,-92.0,0.0,bottom
M1,144.22901,-89.930401,90.0,bottom
Q1,132.93401,-85.972901,90.0,top
Q2,144.43151,-98.525401,180.0,top
R1,131.21553,-91.455401,270.0,top
R10,133.22401,-87.365401,180.0,top
R11,144.35401,-99.655401,180.0,top
R12,139.71401,-106.445401,90.0,top
R13,136.85401,-106.445401,90.0,top
R14,138.76401,-106.445401,90.0,top
R15,137.81401,-106.445401,90.0,top
R16,148.81,-101.62,180.0,top
R2,130.31705,-91.455401,270.0,top
R3,134.18,-91.51,90.0,top
R4,146.316297,-93.710975,270.0,top
R5,147.154497,-93.710975,90.0,top
R6,148.830897,-93.710975,90.0,top
R7,147.992697,-93.710975,270.0,top
R8,145.478097,-93.710975,270.0,top
R9,148.81,-100.66,0.0,top
TH1,135.84,-98.46,180.0,top
TP1,139.06,-103.84,0.0,top
TP10,137.39,-98.99,0.0,top
TP11,150.3,-94.22,0.0,top
TP12,149.31,-99.69,0.0,top
TP13,150.06,-93.16,0.0,top
TP14,132.76,-89.64,0.0,top
TP15,143.25,-94.22,0.0,top
TP2,135.93,-90.57,0.0,top
TP3,135.74,-100.57,0.0,top
TP4,134.8,-100.56,0.0,top
TP5,138.09,-103.83,0.0,top
TP6,130.19,-88.5,0.0,top
TP7,127.45,-91.61,0.0,top
TP8,127.47,-93.47,0.0,top
TP9,143.23,-94.96,0.0,top
U1,132.3,-94.9,0.0,top
U3,131.45151,-97.412901,0.0,top
U4,147.129097,-96.377975,180.0,top
U5,146.59,-101.52,270.0,top
U6,143.91401,-102.825401,0.0,top
U7,138.09401,-101.715401,180.0,top
Y1,128.91401,-99.135401,270.0,top
Y2,135.67401,-95.53,270.0,top
